,id,targetphoto
134,YSH,monkeys/baboon_targetphotos/YSH.IMG_3551.JPG
135,YSH,monkeys/baboon_targetphotos/YSH.IMG_3555.JPG
136,YSH,monkeys/baboon_targetphotos/YSH.IMG_3559.JPG
137,ZZU,monkeys/baboon_targetphotos/ZZU.IMG_0575.JPG
138,ZZU,monkeys/baboon_targetphotos/ZZU.IMG_6472.JPG
139,ZZU,monkeys/baboon_targetphotos/ZZU.IMG_6570.JPG
140,ZZU,monkeys/baboon_targetphotos/ZZU.IMG_6580.JPG
141,ZZU,monkeys/baboon_targetphotos/ZZU.IMG_8770.JPG
142,ZZU,monkeys/baboon_targetphotos/ZZU.ZZU_20210412_PLP1_IMG_1550.JPG
143,ZZU,monkeys/baboon_targetphotos/ZZU.ZZU_20210412_PLP1_IMG_1619.JPG
144,ZZU,monkeys/baboon_targetphotos/ZZU.ZZU_20210507_PLP1_IMG_3824.JPG
145,ZZU,monkeys/baboon_targetphotos/ZZU.ZZU_20210816_PLP1_IMG_5782.JPG
146,ZZU,monkeys/baboon_targetphotos/ZZU_20210818_PLP1_IMG_6446.JPG
